STT,content,sentiment
21,"Đây là một quyển sách mà ai cũng nên đọc, đọc để hiểu quy luật luân hồi và bài học nhân sinh. Hiểu ra được nhiều điều và áp dụng cho biến chuyển trong đời sống ngày hôm nay. Tiki giao hàng nhanh, giá rẻ hơn thị trường, hơn nữa mình cũng sử dụng bảo vệ sách nên quyển sách mình nhận được đẹp từ hình thức ra nội dung. 10đ cho quyển sách này và tiki",1
22,"Quyển sách hay nhất sau Hành trình về phương Đông ở khía cạnh cuộc sống, ý nghĩa cuộc đời, đan xen bí ẩn và hành trình gây kinh ngạc qua các kiếp sống. Tuy nhiên, có lẽ bác Nguyên Phong không viết truyện để dựng thành phim, nên hơi hụt hẫng với việc câu chuyện về Pharaoh - hoàng hậu và cô con gái vị y sĩ, đã kết thúc chóng vánh cho lời kể của ông Kris. Không biết bác Nguyên Phong có định có thêm 1 cuốn gọi là phần II cho Muôn kiếp nhân sinh chăng ? Một quyển sách xuất sắc mà mình khuyên mọi người nên đọc 1 lần trong đời, có lợi cho sự phát triển tinh thần của các bạn, và nếu các bạn tin tưởng luân hồi, biết đâu sẽ vô cùng có lợi cho hành trình tâm linh về sau của các bạn.",0
23,"Gập cuốn sách lại với một niềm xúc động vô bờ. Dòng chữ: “Tôi quyết định viết cuốn sách này bằng tiếng Việt - ngôn ngữ đồng bào, đất nước thân thương trong trái tim tôi” của bác Nguyên Phong khiến mình tự hào ghê gớm. Sách của bác chưa bao giờ làm mình thất vọng, cuốn nào cũng đầy sự minh triết, trí tuệ dạt dào. “Muôn kiếp nhân sinh” xuất bản thật đúng thời điểm. Nó như cơn mưa rào trong nắng hạn, giúp giải tỏa cơn khát cho những ai còn đang trôi lăn, lặn ngụp trong vòng xoáy hỗn loạn của tiền tài và danh vọng mà chưa tìm ra mục đích lớn lao nhất của cuộc đời mình là gì. “Nhân quả đừng để thấy mới tin. Nhân quả là bảng chỉ đường, hướng con người về thiện lương” Đây thực sự là cuốn sách đáng hiện diện một cách trang trọng trên kệ sách của mỗi gia đình.",1
24,"Không ngại thẳng thắn, đây là chủ đề gây nhiều tranh cãi: tiền kiếp và luân hồi. Ngay khi nhìn thấy tiêu đề cuốn sách, xem qua nội dung, mình đã có chút suy nghĩ hơi không thoải mái. Có điều, khi biết cuốn sách được viết bởi một nhà khoa học máy tính, mình đã mua luôn mà không nghĩ thêm. Mặc dù vậy nhưng từ ngữ rất dễ hiểu, không nặng tính chuyên môn, văn phong đi vào lòng người, những yếu tố then chốt trong câu chuyện của bác, mình có thể hiểu được luôn, rất đơn giản nhưng cũng thâm sâu. Bác kể một câu chuyện làm mình đứ đừ đọc suốt 2 tiếng không bỏ xuống được để mà chạy hết hạn. Mình không tin vào những giáo điều thiếu căn cứ. Mình tin vào Khoa học. Và tin vào các quy luật vũ trụ, các năng lượng vật lý. Xưa nay đã thắc mắc về duyên nợ (tâm linh) có thể liên quan tới vật lý (khoa học). Cảm ơn bác Phong vì cái nhìn về nhân sinh qua các lý thuyết khoa học tinh tế. “Con người chết đi rồi tái sinh trong nhiều kiếp sống, căn cứ theo những yếu tố mà chính họ gây ra”. Luật Nhân quả giống một định luật vật lý hơn. Không mong thay đổi quan điểm của bạn. Chỉ mong bạn có thể đọc cuốn sách, suy ngẫm chút về bản thân, về con người, về xã hội. Vì chỉ có trải nghiệm mới gyêúp bạn tin. “Đời sống có ý nghĩa gì nếu chỉ có 1 đời sống duy nhất và chết là hết?”",0
25,"Mình không bàn về nội dung ở đây vì mình chưa đọc. Thật sự là không đọc nổi khi mà sách bị lỗi, rách và công đặc biệt chất liệu giấy rất tệ. Mình nghĩ chỉ cần lật đi lật lại vài lần là sách nát rách bươm luôn. Mình mong tiki khắc phục những lỗi ở trên và giải quyết đổi sách khác cho mình. Mình xin chân thành cảm ơn.",0
26,"Về nội dung sách khá ổn tuy nhiên suy nghĩ hơi hướng hiện đại, không phù hợp với các bạn có suy nghĩ Á Đông và truyền thống, và cũng có hài hước 1 chút gần giống Thất tình không sao. Về vẻ ngoài sách bố cục hơi dày chữ :) Chấm 7/10 điểm hihi",0
27,"sách về nhanh nhưng hơi buồn 1 tí vì bị rách bìa 1 tí ở bìa sau, với không có chữ ký của tác giả hu. Tóm lại là sách chất lượng giao hàng nhanh chóng. cám ơn tiki",1
28,"giao hàng nhanh hơn dự kiến, đóng gói cẩn thận lại còn được mã giảm giá. Sách của Thạch thì khỏi phải bàn luận rồi, đúng như tựa đề ""biên niên cô đơn""",1
29,"nói thiệt khá thất vọng về chất liệu giấy và phong chữ, giấy nhám và thô, kiểu này chừng 1 thời gian là ố lem.nhém. phong chữ kiểu như chuyền từ tiếng tàu sang tiếng việt, kiễu lỗi phong ... chán",-1
30,"Không bàn tới nội dung sách thì chất lượng in và gia công bìa đều không ổn, phần bìa cán màng bị hằn sọc rất khó chịu mình mua 2 cuốn đều bị ,. Tiki giao hàng tỉnh nhanh, giao hàng rẻ.",-1
31,Giao hàng nhanh Bìa sách bị trầy nhiều do không chêm miếng đệm. Trang ở trong thì có vài tờ bị lem màu như bên dưới.,-1
32,"Chỉ muốn cảm ơn Nguyễn Ngọc Thạch rất nhiều. Trong cô đơn em lại gặp được một "" Biên niên cô đơn""",1
33,"Nội dung sách khá hay. Nhưng sách hơi bẩn (nếu nhìn ở ngoài sẽ rõ hơn ấy). Các góc bị quăn khá nhiêu. Với 1 điều mà thấy khá thất vọng nhất là sách nhỏ xíu à, mặc dù có đọc nhiều bình luận là sách nhỏ, nhưng không nghĩ nhỏ như thế ấy:(((((",-1
34,"Sách nhỏ đẹp, nội dung hơi kiệm chữ nhưng vẫn cuốn hút người đọc. Hơi buồn vì tiền giao hàng bằng tiền sách.",0
35,"Sách nhỏ gọn Giao hàng đúng hẹn Đọc đi đọc lại cuốn sách vẫn thấy sự tấu hài sâu sắc và đúng với thực tế cuộc sống Sau vui vẻ không quạu là có từ điển tiếng ""em""",1
36,sách rất hay. nhưng ngắn quá. muốn nhiều hơn nữa 💜,-1
38,"Sách dễ thương, tiki giao hàng nhanh sáng đặt trưa đã giao. ❤❤❤",1
39,Nếu nhận sách mà bìa sách sạch sẽ thì tuyệt vời biết bao😢,-1
40,"Trưa nay được tận tay sờ nắm cả 2 bản cứng và mềm mà sung sướng cười cả ngày luôn ấy. ^^ Sách được in ấn tỉ mì và cẩn thận. Rất hài lòng vì chất lượng sách. Chỉ tham lam thêm, nếu trang bìa của bản bìa cứng cũng có các đoạn thơ dài như bản mềm thì siêu mãn ý luôn (vì bản mềm là của chị khác mua cùng rồi, chẳng lẽ mua thêm quyển =D )",0
41,"Đọc hết một cuốn sách tưởng chừng như đi qua một nửa đời người, có đủ những cung bậc cảm xúc: tò mò, hồi hộp, xúc động, vui buồn lẫn lộn. Nhưng rồi cuối cùng đó là một kết cuộc viên mãn. Có đoạn mình rơi nước mắt vì cuộc đời nhân vật quá éo le, những oan uổng không làm sao nói ra được. Chôn kín trong lòng thì sẽ sinh ra người có tính ù lì, đơn giản là giữ một mình sẽ tốt hơn có nhiều người biết. Nước mắt cũng chỉ vì mình có đủ ‘từng trải’ để hiểu được cảm giác ấy, đọc qua thì có vẻ buồn buồn thôi, nhưng tận sâu bên trong ấy là đường gợn sóng đập vào cảm xúc, buồn lắm. Bù lại cái buồn ấy, họ lúc nào cũng có yếu tố giúp vượt qua, những người bạn, những thông tin vui chưa được tiết lộ. Những con người sinh ra bị số phận sắp đặt, ai bảo rằng chính bản thân là người quyết định cuộc đời mình, nào có phải vậy. Nếu Sâm được đặt đúng nơi ruột thịt và Quyền mãi là con của gia đình bình thường, thì hẳn không có gì để bàn. Nhưng oái oăm họ lại đổi vị trí cho nhau, mà người quyết định ở đây đâu có phải là họ, chính là số phận an bày. Để rồi mỗi người phải gồng gánh cuộc sống, gặm nhắm mâu thuẫn và cắn rứt. Số phận cũng định đoạt sợi dây duyên nợ của họ, biết nhau - xa nhau - rồi lại về bên nhau. Lần đầu tiên tác giả cũng cho 1 đoạn kết có hậu, vì những cuốn trước chỉ toàn kết thúc buồn hoặc mở ra một suy đoán mới. Tất cả cũng chỉ là cuộc đời, mà đời thì đâu có ai đoán trước được. Cạnh những cuộc đời nặng ưu tư, cũng có nhiều suy nghĩ vô tư, trong sáng. Khuê, một cô gái đôi mươi, mạnh mẽ vì phải bương chãi cuộc sống mà có lẽ vì quá bận rộn mưu sinh, đã không đủ tinh tế trong tình yêu, chỉ mãi là cô bé con như ngày nào hay ăn hiếp Sâm, không kịp nhận ra những gợi ý hằng ngày. Nhưng cuộc đời vô tư ấy lại giúp Sâm thoát ra khỏi cuộc đời xù xì của mình, anh đón nhận làn gió mới, làn gió hạnh phúc tưởng chừng vô giá với anh. Có lẽ tác giả muốn nói rằng, cuộc đời ai rồi cũng sẽ tốt, quan trọng là mình đối xử với chính cuộc đời mình ra sao, mình không sắp đặt nó nhưng có thể làm nó tốt hơn, ừ thì chắc là vậy…",0
42,Lần đầu Thất vọng tikinow giao hàng 2-3h kiểu gì mà đi hầu nhân viên giao hàng từ sáng tới tận tối :D lần nào gọi cũng bảo bận và tắc đường Lùi địa điểm giao hàng từ trường về nhà Hỏng hết cả kế hoạch. Tiki xem lại Dịch vụ giao hàng của bạn nhân viên giao hàng này nhé :D,-1
43,"Đóng gói chắc chắn, sịn sò, truyện đọc rất thú vị, hài hước nhưng cũng đậm tính giáo dục, lời văn trong trẻo, nhẹ nhàng, dễ đi vào lòng người",1
44,"Tiki giao hàng nhanh: ngày 11.11 ra sách mà ngày 12.11 đã giao đến tay. Truyện này của chú Ánh là truyện 18+, nhưng vẫn đúng phong cách của chú. Những cú bất ngờ làm cho độc giả bất ngờ, té ghế 😍",1
45,"Hơi buồn vì sách không mới 100%. Bìa sách bị bẩn, và có trang sách bên trong bị dính màu. Đúng ra là cũng không có gì, nhưng với một người yêu sách và hơi kỹ tính như mình, thì lần giao sách lần này của tiki khiến mình không hài lòng.",-1
46,"Sách ổn, có chữ ký đúng như đã đặt trước. Có điều bị dính keo, phải dùng tay tách từ từ từng trang",0
47,"đặt hàng sớm mà bữa nay mới giao hàng, chất lượng bìa cứng hơi sai sai",-1
48,cuốn sách rất đáng đồng tiền bát gạo mọi người ơi. hơi tiếc vì không biết có vụ bản chữ kí của Bác Ánh. nhma sách hay thực sự ạ. tuyệt vời,1
49,"Đặt bản có chữ kí trước 10 ngày, tiki giao hành đúng hẹn, thưởng thêm quà. tuy nhiên trừ 1* vì sách in hơi ẩu, dính keo",1
50,"Mình đã đọc nhiều cuốn cổ vũ tinh thần kiểu này, nhưng quả thực cuốn này quá cô đọng, xúc tích. Nói chung đáng đọc cùng với vài cuốn của Vãn Tình, Lý Tiểu Ý, Chu Xung, Mễ Mông. Tự hỏi sao nhà văn trẻ Trung Quốc dạo này giỏi thế nhỉ. Thấu tình đạt lý quá. Chúng ta không học hỏi nhanh là sợ theo không kịp.",1
51,"Sách thì không vấn đề gì, nhưng bảo vệ sách bọc quá hời hợt và cẩu thả. Giống như lấy bảo vệ sách của cuốn sách lớn hơn chồng vào và quên không ép vậy đó, bọc sách chưa ép cạnh và thừa ra cả khúc dài. Đề nghị Tiki đổi sản phẩm khác bọc bảo vệ sách cẩn thận cho tôi. Cảm ơn.",0
52,"Về nội dung thì sách rất hay, văn phong lôi cuốn, có nhiều câu chuyện để mình suy ngẫm Còn không hài lòng về việc sách in bị lỗi khá nhiều như bị mờ, nhòe chữ,... Hộp đóng gói thì lúc giao đến còn bị lõm xuống rõ to hên là không ảnh hưởng gì mấy tới sách",0
53,"Ưu điểm sách: có những bài học, câu nói đánh thẳng vào vấn đề và tâm lý chung của giới trẻ, từ đó chúng ta thấy chính mình. Những câu nói, châm ngôn sách cô đọng, súc tích, gãy gọn. Nhược điểm :(( Tuy nhiên, những bài học lại không có gì gọi là quá mới mẻ, về việc chúng ta cần phải cố gắng trong cuộc sống, thất bại là mẹ thành công, không gì là quá muộn, thời gian là vàng bạc blMà blMà. Chắc hẳn chúng ta đều có thể biết những điều này, nhưng để có thể tạo nên sức ảnh hưởng thay đổi con người, thì sách chưa làm được. Việc đưa ra những mẩu chuyển cũng ổn trong việc tạo động lực thay đổi. Nhưng mô típ chung những chuyện này còn hơi xa vời, giống những chuyện về những người tài giỏi vượt khó mà bạn hay thấy trên tv á. Sau mỗi mẫu chuyện sách sẽ đúc kết lại: ừ bạn cần cố lên. Một kiểu cổ vũ tinh thần cho bạn khá xưa rồi, thiệt vậy, cổ tích cũng có mà. Vấn đề của sách, là sau những hô hào kia, sách chưa đưa ra được nhiều những biện pháp cụ thể cho bạn. Tóm lại là, tư duy của sách đôi khi hơi nông. Ý kiến riêng bản thán mình. Các bạn có thể tham khảo thêm qua các nhận xét khác để có cái nhìn toàn diện hơn nhaaaaa",0
54,"Vâng. em vừa mới nhận sách, Và đây là hiện trạng của hộp và sách luôn 😀 Mấy lần trước cứ lần nào đặt nhiều thì có sách được gói cẩn thận hơn nhưng đặt 1,2 là y như rằng sách về bị nhăn nhó,góc sách bị hư.E cũng mắt nhắm mắt mở bỏ qua vì cũng nghĩ bên tiki phải giao số hàng lớn cho nhiều khách trong đợt bán và bên giao hàng vận chuyển đi xa cũng có thể ảnh hưởng đôi chút. Thực sự em là 1 kỹ tính trong việc bảo quản sách nên háo hức bao nhiêu thì khi được giao hàng em càng bực tức bấy nhiêu. em không biết là do lỗi bên giao hàng hay sao nhưng sách bị như thế này em không chấp nhận nổi.",0
55,"Quá hối hận vì đã mua sách này. Nội dung quá nhạt nhẽo, thiếu tính hợp lý, chủ yếu là kể chuyện các câu chuyện có nội dung chung chung. Ví dụ ở trang 63 tác giả kể về một người trẻ tuổi đến Paris đi tìm người giúp mình thành công nhưng không được, anh ta được dẫn vào ăn ở khách sạn Hilton và sau đó 20 năm anh ta trở thành nhân vật nổi tiếng? Mình không hiểu chuyện gì đang xảy ra luôn. Mình thấy tiếc thời gian mình bỏ ra vì sách quá NHẢM, dù mới đọc 60 trang đầu.",-1
56,"Đây là lần đầu mình mua sách ở Tiki mà nhận được hàng hơi thất vọng như vầy, mở hàng ra còn có bụi bám ở bìa và phần trang sách. Còn phần bìa phía sau lại bị rách và không được mới nguyên vẹn. Mình luôn mong muốn sách mình đọc luôn mới nên khi thấy sách mới mua về thế này mình thấy không hài lòng chút nào!",-1
57,"nói chung mình định đọc hết rồi tóm tắt   cho các bạn cơ, nhưng đợt này mình ôn thi, mà tiki có treo giải nên mình tóm tắt   luôn cuốn này mình đọc hơn 1 nửa trực tuyến rồi mua, thì mình thấy nó dạy ta cách hiểu tâm sinh lý người bạn đời hoặc người yêu của mình, tâm lý thì nhiều hơn, nói 1 số cách để xử lý tình huống, mình cũng có đọc cư xử như đàn bà hành động như đàn ông , thuật yêu đương và tại sao đàn ông thích tình dục phụ nữ cần tình yêu nữa, nói chung mỗi cuốn sẽ có 1 phong cách riêng, nhưng cũng khá nhiều điểm chung, vì đều nói tâm lý đàn ông và đàn bà mà, đàn ông đến từ sao hỏa đàn bà đến từ sao kim thì nhẹ nhàng hơn suy nghĩ như đàn ông cư xử như đàn bà và phân tích sâu về tâm lý 2 phái hơn",0
58,"Lần đầu tiên mình viết đánh giá trên Tiki và cũng như về sách nên có thể mọi cảm nghĩ của mình khá chủ quan. Nhưng chí ít mình mong nó sẽ giúp được phần nào đó cho trải nghiệm của bạn được tốt hơn khi mua hàng. Điều đầu tiên là về ngoại hình của sản phẩm mà mình nhận được. Sách mới, chưa có nếp gấp hay dấu hiệu của việc đã mở ra (qua sử dụng). Tuy nhiên sách khá dơ, phần trên cùng bị dính một vài vệt đen mờ, trong không được đẹp mắt. Cách đóng quyển của sách khá lỗi, không mở mạnh tay vẫn bị bung rộng nên khá khó khăn trong việc giữ sách mới lâu. Phần này chắc là 4 sao. Tiếp theo là về cách làm việc của Tiki. Sách giao đúng hẹn, nhân viên giao hàng lịch sự, niềm nở. Đóng gói sơ sài quá khi không có bọc nilong riêng cho từng cuốn hay chèn giấy để tránh bị móp méo sách. Mình đánh giá 4 sao cho Tiki. Điều cuối cùng là về nội dung sách. Sách hay, nói rất chuẩn sát về tâm lí của nam và nữ đến mức đôi lúc còn khiến mình giật mình như đang nói về mình và bạn trai/bạn trai cũ. Nhưng giọng văn đôi chỗ khá lan man gây mất tập trung. Sách thật sự có tác dụng cao trong việc cải thiện mối quan hệ hôn nhân hoặc tiền hôn nhân nếu thật sự thẩm thấu và làm đúng theo công thức của sách kết hợp với sự đặc trưng riêng trong tính cách của nữa kia. Theo mình đánh giá thì phụ nữ nên đọc qua ít nhất 1 lần những cuốn sách thể loại này nói chung và cá nhân cuốn sách “Đàn ông sao Hoả, đàn bà sao Kim” nói riêng. Không chỉ giúp cải thiện mối quan hệ, còn lí giải được rất nhiều vấn đề về tâm lý giới tính mà bản thân bạn ít nhất từng tự hỏi mình 1 lần trong đời, giảm thiểu một phần những mâu thuẫn không đáng có trong tình cảm. Và đặc biệt là khiến bản thân bớt lo lắng và tận hưởng được hạnh phúc trong tình yêu một cách trọn vẹn hơn. Về phần này, mình xin đánh giá 5 sao cho nội dung khá hoàn thiện của tác giả.",1
59,"Mình đã nghe cái tên Đàn ông sao Hỏa đàn bà sao Kim từ rất lâu. Hôm rồi thấy có cái bìa mới này hấp dẫn quá đặt mua luôn. Công nhận những điều Johôm nay Gray nói rất lý trí. Việc hiểu nhau sẽ giúp các cặp vợ chồng yêu thương, thông cảm và chia sẻ cho nhau nhiều hơn. Chắc mình mua được sách mới tái bản hay sao á, không thấy có lỗi chính tả như nhận xét của một số bạn khác.",1
60,"Mình không thể đánh giá sao thấp vì nội dung của cuốn sách rất hay, mà độc giả hầu hết nhìn vào số sao để chấm rằng sách hay hay không, nhưng không vì vậy mà mình không trừ 2 sao cho việc Tiki đã giao 1 quyển sách bị ""cũ"" như vậy (tuy rằng mình không hay chú ý đến bìa sách lắm, nhưng lỗi này nhìn vào là thấy liền, không thể không nói được) Mình vừa đọc đến 30 trang đầu, và ở trang 26 bị lặp chữ ""mối quan quan hệ"", góp ý cho nhà xuất bản giúp mình để lần tái bản sau những lỗi vặt như vậy không xảy ra nữa, xin cảm ơn ❤",-1
61,"Tiki làm mình thật sự không hài lòng cho đợt giao sách này, thường thì các lỗi về mép sách thì mình thường bỏ qua chứ về lỗi in trùng nôi dung thiếu trang thì không thể bỏ qua được, hy vọng bên Tiki có cách để giải quyết vấn đề này giúp mình, mình xin cám ơn",-1
