STT,content,sentiment
30,"4* cho chất lượng giấy, đây có thể là cuốn sách với giấy chất lượng nhất tôi từng mua, trong sách có nhiều trang được in màu, các trang cuối có hình và nhưng câu tóm tắt cô đọng. Nội dung thì 3* vì chưa hợp với tôi lắm, hoặc không như tôi kỳ vọng, có lẽ tôi ít đọc sách thể loại này, và do tôi là người không theo tôn giáo, mà tin vào khoa học nên những câu chuyện hay cách giải thích trong này chưa mang tính thuyết phục, Nhưng nếu có xu hướng về tâm linh cần có cái nhìn về lĩnh vực này một cách khách quan thì nên mua, đây không phải là cuốn sách hoàn toàn nói về tâm linh mà vẫn lồng ghép bằng chứng khoa học trong đó. ""Không có việc gì xảy ra do tình cơ hay do định mệnh. Chúng ta tạo ra số phận bằng những hành động của chính mình. Đó là quy luật của Vũ trụ"" ""Nhân quả đừng để thấy mới tin, nhân quả là bản chỉ đường, hướng con người về thiện lương""",0
31,"Tuyệt vời , Bìa đẹp nhưng gốc sách bị trầy xước do lúc vận chuyển , Tôi biết đến bác Nguyên Phong qua Hành trình về Phương Đông & Dấu Chân Trên Cát .v.v . Khi nghe Tác phẩm này mới phát hành thì tôi mua ngay 😀 Chân thành cảm ơn CEO Nguyễn Văn Phước đã tạo điều kiện cho tác phẩm đến bạn đọc VN . ❤️ Xin Tri ân Bác Nguyên Phong người đã dành thời gian công sức đem lại những Minh triết cống hiến cho Bạn đọc Việt Nam . "" Nhân Quả đừng đợi thấy mới tin ....""",1
32,"Sách được in màu trên giấy có chất lượng cao cấp nên sờ rất thích. Tuy nhiên, cuốn của mình của vài trang in bị nhòe, lem mực chút xíu như hình đính kèm ạ. Một cuốn sách về tôn giáo. Mình không bàn về tôn giáo trong cuốn sách vì là quyền của mỗi người. Một cuốn sách với mình khá hay. Mình đã phải ngạc nhiên trước kho kiến thức khổng lồ và chi tiết có trong sách. Đặc biệt là kiến thức về sự phát triển của Ai Cập mấy nghìn năm về trước. Cuốn sách như tác giả nói là câu chuyện có thật kể về việc bạn của ông đã trải qua một sự kiện lạ lùng đó là nhớ lại và được trải nghiệm các kiếp sống trước đây của mình. Mình không chắc câu chuyện này có thật hay không nhưng mình rất nể cách dẫn dắt của tác giả. Mặc dù là sách về tôn giáo, tâm linh nhưng tác giả đã dùng từ ngữ rất dễ hiểu. Làm mình rất hứng thú mỗi khi đọc. Rất cảm ơn tác giả đã viết ra cuốn sách hay và ý nghĩa như vậy. Một câu mình rất thích là ""Nhân quả đừng đợi thấy mới tin"". Thanks Tiki!",1
33,"Phúc cho ai đọc được sách do giáo sư Nguyên Phong viết Cả bộ 3 cuốn này là tác phẩm làm bản thân mình tỉnh thức , biết cách sống cho nghiêm túc hơn . Sách đưa ra những chứng cứ cho thấy nhân quả là do nghiệp số , mà nghiệp số là con người ta tự tạo ra trong muôn vạn kiếp chất chồng , mỗi lần đến thế gian là để học hỏi và tiến hoá . khi ta hiểu ra điều đó từ tận sâu trong tâm mình cũng là lúc ta sống trong tần nhận thức mới , bắt được tần số rung động mới .",1
34,"đoạn nhân vật chính gây nghiệp ác nên đầu thai thành hàng triệu con côn trùng làm mình bật cười, nhưng dù sao đây cũng là 1 lý thuyết đáng chú ý. Mình chụp mục lục và vài trang đầu cho các bạn nào cần vì tiki chưa có phần này",-1
35,"Cuốn này mình được tặng khi mua đơn hàng trên 500k ở tiki vào ngày 31/10. Sách đẹp, không được bọc nhưng k bị cong. có bookmark đi kèm. giao hàng nhanh chỉ sau 3h đặt hàng. Về nội dung thì mình chưa đọc, nhưng nó thuộc danh mục được quá trời bạn review nên mình nghĩ đây 1 cuốn sách đáng để mua vào bộ sưu tập sách của các bạn đó ^^",1
36,"Đây là một quyển sách mà ai cũng nên đọc, đọc để hiểu quy luật luân hồi và bài học nhân sinh. Hiểu ra được nhiều điều và áp dụng cho biến chuyển trong đời sống ngày hôm nay. Tiki giao hàng nhanh, giá rẻ hơn thị trường, hơn nữa mình cũng sử dụng book care nên quyển sách mình nhận được đẹp từ hình thức ra nội dung. 10đ cho quyển sách này và tiki",1
37,"Quyển sách hay nhất sau Hành trình về phương Đông ở khía cạnh cuộc sống, ý nghĩa cuộc đời, đan xen bí ẩn và hành trình gây kinh ngạc qua các kiếp sống. Tuy nhiên, có lẽ bác Nguyên Phong ko viết truyện để dựng thành phim, nên hơi hụt hẫng với việc câu chuyện về Pharaoh - hoàng hậu và cô con gái vị y sĩ, đã kết thúc chóng vánh cho lời kể của ông Kris. Không biết bác Nguyên Phong có định có thêm 1 cuốn gọi là phần II cho Muôn kiếp nhân sinh chăng ? Một quyển sách xuất sắc mà mình khuyên mọi người nên đọc 1 lần trong đời, có lợi cho sự phát triển tinh thần của các bạn, và nếu các bạn tin tưởng luân hồi, biết đâu sẽ vô cùng có lợi cho hành trình tâm linh về sau của các bạn.",0
38,"Gập cuốn sách lại với một niềm xúc động vô bờ. Dòng chữ: “Tôi quyết định viết cuốn sách này bằng tiếng Việt - ngôn ngữ đồng bào, đất nước thân thương trong trái tim tôi” của bác Nguyên Phong khiến mình tự hào ghê gớm. Sách của bác chưa bao giờ làm mình thất vọng, cuốn nào cũng đầy sự minh triết, trí tuệ dạt dào. “Muôn kiếp nhân sinh” xuất bản thật đúng thời điểm. Nó như cơn mưa rào trong nắng hạn, giúp giải tỏa cơn khát cho những ai còn đang trôi lăn, lặn ngụp trong vòng xoáy hỗn loạn của tiền tài và danh vọng mà chưa tìm ra mục đích lớn lao nhất của cuộc đời mình là gì. “Nhân quả đừng để thấy mới tin. Nhân quả là bảng chỉ đường, hướng con người về thiện lương” Đây thực sự là cuốn sách đáng hiện diện một cách trang trọng trên kệ sách của mỗi gia đình.",1
39,"Không ngại thẳng thắn, đây là chủ đề gây nhiều tranh cãi: tiền kiếp và luân hồi. Ngay khi nhìn thấy tiêu đề cuốn sách, xem qua nội dung, mình đã có chút suy nghĩ hơi không thoải mái. Có điều, khi biết cuốn sách được viết bởi một nhà khoa học máy tính, mình đã mua luôn mà không nghĩ thêm. Mặc dù vậy nhưng từ ngữ rất dễ hiểu, không nặng tính chuyên môn, văn phong đi vào lòng người, những yếu tố then chốt trong câu chuyện của bác, mình có thể hiểu được luôn, rất đơn giản nhưng cũng thâm sâu. Bác kể một câu chuyện làm mình đứ đừ đọc suốt 2 tiếng không bỏ xuống được để mà chạy deadline. Mình không tin vào những giáo điều thiếu căn cứ. Mình tin vào Khoa học. Và tin vào các quy luật vũ trụ, các năng lượng vật lý. Xưa nay đã thắc mắc về duyên nợ (tâm linh) có thể liên quan tới vật lý (khoa học). Cảm ơn bác Phong vì cái nhìn về nhân sinh qua các lý thuyết khoa học tinh tế. “Con người chết đi rồi tái sinh trong nhiều kiếp sống, căn cứ theo những yếu tố mà chính họ gây ra”. Luật Nhân quả giống một định luật vật lý hơn. Không mong thay đổi quan điểm của bạn. Chỉ mong bạn có thể đọc cuốn sách, suy ngẫm chút về bản thân, về con người, về xã hội. Vì chỉ có trải nghiệm mới giúp bạn tin. “Đời sống có ý nghĩa gì nếu chỉ có 1 đời sống duy nhất và chết là hết?”",0
40,"Mình không bàn về nội dung ở đây vì mình chưa đọc. Thật sự là không đọc nổi khi mà sách bị lỗi, rách và công đặc biệt chất liệu giấy rất tệ. Mình nghĩ chỉ cần lật đi lật lại vài lần là sách nát rách bươm luôn. Mình mong tiki khắc phục những lỗi ở trên và giải quyết đổi sách khác cho mình. Mình xin chân thành cảm ơn.",0
41,"Về nội dung sách khá ổn tuy nhiên suy nghĩ hơi hướng hiện đại, không phù hợp với các bạn có suy nghĩ Á Đông và truyền thống, và cũng có hài hước 1 chút gần giống Thất tình không sao. Về vẻ ngoài sách bố cục hơi dày chữ :) Chấm 7/10 điểm hihi",0
42,"sách về nhanh nhưng hơi buồn 1 tí vì bị rách bìa 1 tí ở bìa sau, với ko có chữ ký của tác giả huhu. Tóm lại là sách chất lượng giao hàng nhanh chóng. cám ơn tiki",1
43,"Mình theo chân những cuốn của anh Thạch lâu rồi. Nó ko phải là ""hay"" hay ""ko hay"" nữa, mà là đọc sách của anh để tìm thấy bình yên, thế thôi! Có những nỗi cô đơn lại khiến mình bình yên đến như vậy ^^!",1
44,"giao hàng nhanh hơn dự kiến, đóng gói cẩn thận lại còn đc mã giảm giá. Sách của Thạch thì khỏi phải bàn luận rồi, đúng như tựa đề ""biên niên cô đơn""",1
45,"nói thiệt khá thất vọng về chất liệu giấy và phong chữ, giấy nhám và thô, kiểu này chừng 1 thời gian là ố lem.nhem. phong chữ kiểu như chuyền từ tiếng tàu sang tiếng việt, kiễu lỗi phong ... chán",-1
46,"Nếu thực sự từng yêu, từng ""hư"", bạn sẽ tìm thấy sự đồng cảm trong cuốn sách này. Nếu tình yêu của bạn vẫn luôn ""trong sáng"" và xinh đẹp thì có thể không thấy hay lắm đâu nha.",1
47,"Không bàn tới nội dung sách thì chất lượng in và gia công bìa đều không ổn, phần bìa cán màng bị hằn sọc rất khó chịu mình mua 2 cuốn đều bị ,. Tiki giao hàng tỉnh nhanh, ship rẻ.",-1
48,Giao hàng nhanh Bìa sách bị trầy nhiều do không chêm miếng đệm. Trang ở trong thì có vài tờ bị lem màu như bên dưới.,-1
49,"Chỉ muốn cảm ơn Nguyễn Ngọc Thạch rất nhiều. Trong cô đơn em lại gặp được một "" Biên niên cô đơn""",1
50,"Nội dung sách khá hay. Nhưng sách hơi bẩn (nếu nhìn ở ngoài sẽ rõ hơn ấy). Các góc bị quăn khá nhiêu. Với 1 điều mà thấy khá thất vọng nhất là sách nhỏ xíu à, mặc dù có đọc nhiều comments là sách nhỏ, nhưng k nghĩ nhỏ như thế ấy:(((((",-1
51,"Sách nhỏ đẹp, nội dung hơi kiệm chữ nhưng vẫn cuốn hút người đọc. Hơi buồn vì tiền ship bằng tiền sách.",0
52,"Ship hàng siêu nhanh ạ, anh giao hàng cũng thân thiện. Sách pé pé xinh xinh cưng lắm, nội dung thú vị độc đáo, nói chung là hổng có j để chê ạ",1
53,"Sách cưng xỉu nạ! đang stress mà nhận được sách đọc vài trang mà quên hết mọi sự, cười rớt hàm.",1
54,"Sách nhỏ gọn Giao hàng đúng hẹn Đọc đi đọc lại cuốn sách vẫn thấy sự tấu hài sâu sắc và đúng với thực tế cuộc sống Sau vui vẻ không quạu là có từ điển tiếng ""em""",1
55,"Sách nhẹ nhàng, dễ thương. Đọc không cần chuẩn bị tâm lý, kiến thức gì, cũng không cần suy nghĩ gì quá nhiều. Đúng với định nghĩa từ điển",1
56,sách rất hay. nhưng ngắn quá. muốn nhiều hơn nữa 💜,-1
57,OK,0
58,"Sách dễ thương, tiki giao hàng nhanh sáng đặt trưa đã giao. ❤❤❤",1
59,Nếu nhận sách mà bìa sách sạch sẽ thì tuyệt vời biết bao😢,-1
60,"Trưa nay được tận tay sờ nắm cả 2 bản cứng và mềm mà sung sướng cười cả ngày luôn ấy. ^^ Sách được in ấn tỉ mì và cẩn thận. Rất hài lòng vì chất lượng sách. Chỉ tham lam thêm, nếu postcard của bản bìa cứng cũng có các đoạn thơ dài như bản mềm thì siêu mãn ý luôn (vì bản mềm là của chị khác mua cùng rồi, chẳng lẽ mua thêm quyển =D )",0
61,"Đọc hết một cuốn sách tưởng chừng như đi qua một nửa đời người, có đủ những cung bậc cảm xúc: tò mò, hồi hộp, xúc động, vui buồn lẫn lộn. Nhưng rồi cuối cùng đó là một kết cuộc viên mãn. Có đoạn mình rơi nước mắt vì cuộc đời nhân vật quá éo le, những oan uổng không làm sao nói ra được. Chôn kín trong lòng thì sẽ sinh ra người có tính ù lì, đơn giản là giữ một mình sẽ tốt hơn có nhiều người biết. Nước mắt cũng chỉ vì mình có đủ ‘từng trải’ để hiểu được cảm giác ấy, đọc qua thì có vẻ buồn buồn thôi, nhưng tận sâu bên trong ấy là đường gợn sóng đập vào cảm xúc, buồn lắm. Bù lại cái buồn ấy, họ lúc nào cũng có yếu tố giúp vượt qua, những người bạn, những thông tin vui chưa được tiết lộ. Những con người sinh ra bị số phận sắp đặt, ai bảo rằng chính bản thân là người quyết định cuộc đời mình, nào có phải vậy. Nếu Sâm được đặt đúng nơi ruột thịt và Quyền mãi là con của gia đình bình thường, thì hẳn không có gì để bàn. Nhưng oái oăm họ lại đổi vị trí cho nhau, mà người quyết định ở đây đâu có phải là họ, chính là số phận an bày. Để rồi mỗi người phải gồng gánh cuộc sống, gặm nhắm mâu thuẫn và cắn rứt. Số phận cũng định đoạt sợi dây duyên nợ của họ, biết nhau - xa nhau - rồi lại về bên nhau. Lần đầu tiên tác giả cũng cho 1 đoạn kết có hậu, vì những cuốn trước chỉ toàn kết thúc buồn hoặc mở ra một suy đoán mới. Tất cả cũng chỉ là cuộc đời, mà đời thì đâu có ai đoán trước được. Cạnh những cuộc đời nặng ưu tư, cũng có nhiều suy nghĩ vô tư, trong sáng. Khuê, một cô gái đôi mươi, mạnh mẽ vì phải bương chãi cuộc sống mà có lẽ vì quá bận rộn mưu sinh, đã không đủ tinh tế trong tình yêu, chỉ mãi là cô bé con như ngày nào hay ăn hiếp Sâm, không kịp nhận ra những gợi ý hằng ngày. Nhưng cuộc đời vô tư ấy lại giúp Sâm thoát ra khỏi cuộc đời xù xì của mình, anh đón nhận làn gió mới, làn gió hạnh phúc tưởng chừng vô giá với anh. Có lẽ tác giả muốn nói rằng, cuộc đời ai rồi cũng sẽ tốt, quan trọng là mình đối xử với chính cuộc đời mình ra sao, mình không sắp đặt nó nhưng có thể làm nó tốt hơn, ừ thì chắc là vậy…",0
62,Lần đầu Thất vọng tikinow Ship 2-3h kiểu gì mà đi hầu shipper từ sáng tới tận tối :D lần nào gọi cũng bảo bận và tắc đường Lùi địa điểm ship từ trường về nhà Hỏng hết cả kế hoạch. Tiki xem lại Dịch vụ giao hàng của bạn shipper này nhé :D,-1
63,"Đóng gói chắc chắn, sịn sò, truyện đọc rất thú vị, hài hước nhưng cũng đậm tính giáo dục, lời văn trong trẻo, nhẹ nhàng, dễ đi vào lòng người",1
64,"Tiki giao hàng nhanh: ngày 11.11 ra sách mà ngày 12.11 đã giao đến tay. Truyện này của chú Ánh là truyện 18+, nhưng vẫn đúng phong cách của chú. Những cú twist làm cho độc giả bất ngờ, té ghế 😍",1
65,"Hơi buồn vì sách không mới 100%. Bìa sách bị bẩn, và có trang sách bên trong bị dính màu. Đúng ra là cũng ko có gì, nhưng với một người yêu sách và hơi kỹ tính như mình, thì lần giao sách lần này của tiki khiến mình không hài lòng.",-1
66,"Sách ok, có chữ ký đúng như đã đặt trước. Có điều bị dính keo, phải dùng tay tách từ từ từng trang",0
67,"đặt hàng sớm mà bữa nay mới giao hàng, chất lượng bìa cứng hơi sai sai",-1
68,cuốn sách rất đáng đồng tiền bát gạo mọi người ơi. hơi tiếc vì không biết có vụ bản chữ kí của Bác Ánh. nhma sách hay thực sự ạ. tuyệt vời,1
69,"Đặt bản có chữ kí trước 10 ngày, tiki giao hành đúng hẹn, bonus thêm quà. tuy nhiên trừ 1* vì sách in hơi ẩu, dính keo",1
70,"Mình đã đọc nhiều cuốn cổ vũ tinh thần kiểu này, nhưng quả thực cuốn này quá cô đọng, xúc tích. Nói chung đáng đọc cùng với vài cuốn của Vãn Tình, Lý Tiểu Ý, Chu Xung, Mễ Mông. Tự hỏi sao nhà văn trẻ Trung Quốc dạo này giỏi thế nhỉ. Thấu tình đạt lý quá. Chúng ta không học hỏi nhanh là sợ theo không kịp.",1
71,"Sách thì ko vấn đề gì, nhưng bookcare bọc quá hời hợt và cẩu thả. Giống như lấy bookcare của cuốn sách lớn hơn chồng vào và quên ko ép vậy đó, bọc sách chưa ép cạnh và thừa ra cả khúc dài. Đề nghị Tiki đổi sản phẩm khác bọc bookcare cẩn thận cho tôi. Cảm ơn.",0
72,"Không giữ nổi thanh xuân, chúng ta vẫn có thể trở thành phiên bản tốt nhất của bản thân. Mỗi chúng ta-bất luận là ai cũng đều hiểu rằng: Ý nghĩa của việc sống trên đời không phải chỉ là để tìm kiếm tình yêu, mà là tìm kiếm phiên bản tốt nhất của chính mình. Như vậy tình yêu sẽ tự tìm đến với chúng ta. Cho dù cuộc sống có hàng ngàn lí do để bạn khóc lóc, bạn cũng phải tìm ta hàng vạn lí do để mỉm cười. Quyển sách giúp các bạn trẻ thức tỉnh trong sự lười biếng, chán chường để tìm đam mê, ước mơ và nổ lực hơn để đạt được thành công.",1
73,"Về nội dung thì sách rất hay, văn phong lôi cuốn, có nhiều câu chuyện để mình suy ngẫm Còn không hài lòng về việc sách in bị lỗi khá nhiều như bị mờ, nhòe chữ,... Hộp đóng gói thì lúc giao đến còn bị lõm xuống rõ to hên là không ảnh hưởng gì mấy tới sách",0
